Security Code,Security Id,Security Name,Status,ISIN No
500002,ABB,ABB India Limited,Active,INE117A01022
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,INE208C01025
500004,TPAEC,TORRENT POWER AEC LTD.,Delisted,INE424A01014
500005,AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,INE984C01013
500006,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,INE256B01026
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,INE885A01032
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,INE432A01017
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,INE001A01036
500011,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,NA
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,INE714B01016
500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,INE436A01026
500014,UTIQUE,Utique Enterprises Ltd,Active,INE096A01010
500015,ICICIDM,ICICI LTD.,Delisted,INE005A01011
500016,ARUNAHTEL,ARUNA HOTELS LTD.,Active,INE957C01019
500018,ARPOLDM,ARPOLDM,Delisted,INE035A01018
500019,BOR,BANK OF RAJASTHAN LTD.,Delisted,INE320A01014
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,INE032A01023
500021,ASINCOF,ASINCOF,Delisted,NA
500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,INE363A01022
500024,ASSAMCO,Assam Company (India) Limited,Delisted,INE442A01024
500025,ASSAMBR,ASSAMBROOK LTD.-$,Delisted,INE353C01011
500026,ATSHIND,ATASH INDUSTRIES LTD.,Delisted,NA
500027,ATUL,ATUL LTD.,Active,INE100A01010
500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,INE447A01015
500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,Suspended,INE448A01013
500030,AUTORIDFIN,AUTORIDERS FINANCE LTD.,Delisted,INE450A01019
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,INE193E01025
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,INE306A01021
500033,FORCEMOT,FORCE MOTORS LTD.-$,Active,INE451A01017
500034,BAJFINANCE,Bajaj Finance Limited,Active,INE296A01024
500035,BALAJIDI,BALAJI DISTILLERIES LTD.,Delisted,INE453A01013
500036,BALAJIIND,BALAJI INDUSTRIAL CORPORATION LTD.,Delisted,INE455A01018
500037,BALMERL-B,BALMER LAWRIE FREIGHT CONTAINERS LTD.,Delisted,
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,INE119A01028
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,INE213C01025
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,INE055A01016
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,INE459A01010
500042,BASF,BASF INDIA LTD.,Active,INE373A01013
500043,BATAINDIA,BATA INDIA LTD.,Active,INE176A01028
500044,RAYBAN,RAYBAN SUN OPTICS INDIA LTD.,Delisted,INE854A01012
500045,BELLARYS,BELLARY STEELS & ALLOYS LTD.,Delisted,INE166C01025
500046,BECREL,BEST & CROMPTON ENGG.LTD.,Delisted,INE287A01015
500047,BETANAP,BETA NAPHTHOL LTD.,Delisted,NA
500048,BEML,BEML LTD.,Active,INE258A01016
500049,BEL,BHARAT ELECTRONICS LTD.,Active,INE263A01024
500050,BHARATRA,BHARAT RASAYAN LTD.,Delisted,INE838B01013
500051,BHAGGAS,Bhagawati Gas Limited,Delisted,INE099C01010
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,INE922A01025
500053,BHAZINC,BHARAT ZINC LTD.,Delisted,NA
500054,BHRTITE-B,BHRTITE-B,Delisted,NA
500055,TATASTLBSL,Tata Steel Bsl Ltd,Active,INE824B01021
500056,UTIMRDM,MASTERGROWTH-93,Delisted,INF189A01046
500057,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,Delisted,INE605B01016
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,INE819C01011
500059,BINANIIND,BINANI INDUSTRIES LTD.,Suspended,INE071A01013
500060,BIRLACABLE,Birla Cable Ltd,Active,INE800A01015
500061,ANVALDM,ANDHRA VALLEY POWER SUPPLY COMPANY LTD.,Delisted,INE247A01019
500062,ASHOKLEYFIN,ASHOK LEYLAND FINANCE LTD.,Delisted,INE251A01011
500063,OSWALCHEM,OSWAL CHEMICALS & FERTILIZERS LTD.,Delisted,INE143A01010
500064,BGFL,BIRLA GLOBAL FINANCE LTD.,Delisted,INE097A01018
500066,BLOWPLA,BLOW PLAST LTD.-$,Delisted,INE051A01015
500067,BLUESTARCO,BLUE STAR LTD.,Active,INE472A01039
500068,DISAQ,DISA INDIA LTD.,Active,INE131C01011
500069,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,INE418C01012
500070,BOP,BANK OF PUNJAB LTD.,Delisted,INE458A01012
500072,BONGAIREFN,BONGAIGAON REFINERY & PETROCHEMICALS LTD.,Delisted,INE241A01012
500073,BPLENG,BPL ENGINEERING LTD.,Delisted,INE108A01013
500074,BPL,BPL LTD.,Active,INE110A01019
500075,NAGARFER,NAGARJUNA FERTILIZERS & CHEMICALS LTD.,Delisted,INE580A01013
500076,BURROWEL,BURROUGHS WELLCOME (INDIA) LTD.,Delisted,INE157A01010
500077,CCI,CABLE CORPORATION OF INDIA LTD.,Delisted,INE475A01016
500078,OAL,Oriental Aromatics Ltd-$,Active,INE959C01023
500079,CARIR,CARRIER AIRCON LTD.,Delisted,INE480A01016
500080,CAUVERSOFT,CAUVERY SOFTWARE ENGINEERING SYSTEMS LTD.,Delisted,INE466B01013
500081,CELEINT,CELESTE INTERNATIONAL LTD.,Delisted,NA
500082,CENCHDM,CENTAK CHEMICALS LTD.,Delisted,INE942A01015
500083,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,INE281A01026
500084,CESC,CESC LTD.,Active,INE486A01013
500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,INE085A01013
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,INE302A01020
500087,CIPLA,CIPLA LTD.,Active,INE059A01026
500089,DICIND,DIC INDIA LTD.,Active,INE303A01010
500090,MADUCOA,MADURA COATS LTD.,Delisted,INE122A01014
500091,COREPARENT,CORE HEALTHCARE LTD.,Delisted,INE494A01017
500092,CRISIL,CRISIL LTD.,Active,INE007A01025
500093,CGPOWER,CG Power and Industrial Solutions Ltd,Active,INE067A01029
500094,CTCOTTON,CT COTTON YARN LTD.,Delisted,INE107D01019
500095,WYETH,WYETH LTD.,Delisted,INE378A01012
500096,DABUR,DABUR INDIA LTD.,Active,INE016A01026
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,INE495A01022
500098,SKYLNEPC,SKYLINE NEPC LTD.,Delisted,INE575B01011
500099,CENTINPO,CENTRAL INDIA POLYESTERS LTD.,Delisted,INE496A01020
500100,DAEWOO,DAEWOO MOTORS (INDIA) LTD.,Delisted,INE497A01010
500101,ARVIND,ARVIND LTD.,Active,INE034A01011
500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,INE294A01037
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,INE257A01026
500104,HINDPETRO*,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,INE094A01015
500105,IPCL,INDIAN PETROCHEMICALS CORP.LTD.,Delisted,INE006A01019
500106,IFCI,IFCI LTD.,Active,INE039A01010
500107,JINDALIRON,JINDAL IRON & STEEL CO.LTD.,Delisted,INE020A01010
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,INE153A01019
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,INE103A01014
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,INE178A01016
500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,INE013A01015
500112,SBIN,STATE BANK OF INDIA,Active,INE062A01020
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,INE114A01011
500114,TITAN,Titan Company Limited,Active,INE280A01028
500115,MSTRP,MSTRP,Delisted,INF189A01061
500116,IDBI,IDBI BANK LTD.,Active,INE008A01015
500117,DCW,DCW LTD.,Active,INE500A01029
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,INE041A01016
500120,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,INE591D01014
500121,DIGITAL,DIGITAL GLOBALSOFT LTD.,Delisted,INE124A01010
500122,AMBUJACEMR,AMBUJA CEMENT RAJASTHAN LTD.,Delisted,INE125A01017
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,INE280B01018
